Boucicaut;48.8410837;2.2879218
Porte Dauphine;48.8711895;2.2783699
Porte de Clignancourt;48.8973976;2.3448521
Saint-Philippe du Roule;48.8723362;2.3100827
Pré-Saint-Gervais;48.8802491;2.3988452
République;48.86730755;2.3641561500000003
Guy Môquet;48.8927389;2.3273435
Bibliothèque François Mitterand;NOT FOUND
Aubervilliers-Pantin, Quatre Chemins;NOT FOUND
Saint-Lazare;48.8754153;2.3253531
Duroc;48.8468433;2.3166286
Abbesses;48.8845853;2.3379012
Porte de Saint-Ouen;48.8971558;2.3288425
Buzenval;48.8518248;2.4013274
Corvisart;48.8298024;2.3504805
Mairie d'Issy;48.8757498;2.3279157194045226
Voltaire;48.8581794;2.3798223
Porte de Clichy;48.8948169;2.3132665
Invalides;48.8608923;2.3144984
Le Kremlin-Bicêtre;48.8093374;2.3629202
Fort d'Aubervilliers;NOT FOUND
Cour Saint-Émilion;48.8335432;2.3859654
Bolivar;48.8809263;2.3739077
Château de Vincennes;48.844285;2.439479
Porte de Vanves;48.827676;2.3054796
Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danube;NOT FOUND
Rue Saint-Maur;48.864335;2.3794817
La Fourche;48.886971;2.3258228
Gabriel Péri, Asnières-Gennevilliers;NOT FOUND
Faidherbe-Chaligny;48.8501609;2.3842222
Châtillon-Montrouge;48.8111619;2.3000922
Brochant;48.8905757;2.3202004
Commerce;48.8447112;2.2938643
Grande Arche de la Défense;NOT FOUND
Ledru Rollin;48.8512945;2.3760274
Cadet;48.8760003;2.3444645
Bérault;48.845439;2.429261
Les Halles;48.8624659;2.3460086
Tuileries;48.8645194;2.3296312
Pernety;48.8339998;2.3181806
Philippe-Auguste;48.8582563;2.3901666
Boulogne, Jean Jaurès;NOT FOUND
Esplanade de la Défense;NOT FOUND
Gaité;48.8386332;2.3224866
Rennes;48.848198;2.3277771
Ségur;48.8469753;2.3074451
Temple;48.864212;2.360936
Saint-Ambroise;48.8610434;2.3747264
La Muette;48.8579754;2.274062
Créteil-Préfecture;NOT FOUND
Créteil-l'Echat, Hôpital Henri Mondor;NOT FOUND
Garibaldi;NOT FOUND
Alésia;48.8280318;2.3270406
Place de Clichy;48.8835931;2.3278672
Porte de Bagnolet;48.8646027;2.407183
Volontaires;48.8415334;2.3080102
Bobigny, Pablo Picasso;48.9012723;2.4552962
Créteil-Université;NOT FOUND
Bonne Nouvelle;48.8705324;2.3487457
Couronnes;48.869062;2.3804698
Belleville;48.8717265;2.385085
Jasmin;48.8525598;2.2681802
Mirabeau;48.8468116;2.2716976
Varenne;48.8569057;2.3150837
Boissière;48.8670421;2.2900911
Daumesnil;48.8395922;2.3962319
Dupleix;48.8504095;2.2936611
Hôtel de Ville;48.856426299999995;2.3525275780116073
Nation;48.847611;2.3955668
Oberkampf;48.8641124;2.3694232
Place d'Italie;48.8309446;2.3558932
Pont-Marie;48.8537872;2.3565905
Porte d'Ivry;48.8216035;2.3693411
Porte de la Chapelle;48.8977035;2.3594563
Porte de la Villette;48.8974039;2.385591
Gare de l'Est;48.8770979;2.3594905
Saint-Augustin;48.874471;2.3217921
Rome;48.8823012;2.3213298
Stalingrad;48.8842416;2.3670741
Vaneau;48.8491519;2.3218529
Bastille;48.852987;2.3688579
Ranelagh;48.8555764;2.2702166
Basilique de Saint-Denis;NOT FOUND
Cambronne;48.8475232;2.3029457
Pasteur;48.8429336;2.3125906
Quai de la Gare;48.8370444;2.3728619
Riquet;48.8884812;2.3742226
Saint-Mandé, Tourelle;NOT FOUND
Jourdain;48.8750944;2.38933
Porte des Lilas;48.8762418;2.4065295
Rue du Bac;48.8551812;2.3257736
Gambetta;48.8649327;2.3980541
Galliéni;48.860648270474016;2.3131903577464406
Alexandre Dumas;48.8563002;2.3944412
Saint-Fargeau;48.8715218;2.4043104
Passy;48.8631709;2.2757648
Château d'Eau;48.8728919;2.3563063
Jaurès;48.8825949;2.3703263
Les Gobelins;48.8356304;2.3526735
Reuilly Diderot;48.8473574;2.3867982
Ourcq;48.8870772;2.38664
Vavin;48.8422164;2.3290114
